Author,Date,Title,Source,Vol.,No.,pp.,Category,URL
B. Du; G. Akiwate; T. Krenc; C. Testart; A. Marder; B. Huffaker; A. C. Snoeren; KC Claffy,2022-04-22,IRR Hygiene in the RPKI Era,International Conference on Passive and Active Network Measurement (PAM 2022),,,321-337,Conference,
T. Shapira; Y. Shavitt,2022-04-22,BGP2Vec: Unveiling the Latent Characteristics of Autonomous Systems,IEEE Transactions on Network and Service Management,,,,Conference Paper,
D. Saraswat; P. Bhattacharya; S. Bhavssar; H. Dave; K. Patel; S. Punjani; A. Verma; S. Tanwar,2022-04-20,Internet eXchange Points: A Systematic Case Study in Indian Context,Emerging Technologies for Computing, Communication and Smart Cities,,,731-745,Peer,
F. Douzet; L. Petiniaud; K. Salamatian; J. Samaan,2022-04-15,Digital Routes and Borders in the Middle-East: the geopolitical underpinnings of Internet Connectivity,SocArXiv Papers,,,,Conference Paper,
Z. Heszberger,2022-04-15,Hyperbolic trees for efficient routing computation,The Journal of Supercomputing,,,,Peer,
T. Ermakova; B. Fabian; D. A. Fradin; S. Gross,2022-04-12,A Framework for Internet Connectivity Risk Assessment Based on Graph Models,WI-IAT '21: IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,,,576-581,Conference Paper,
T. Shapira; Y. Shavitt,2022-04-11,AP2Vec: an Unsupervised Approach for BGP Hijacking Detection,IEEE Transactions on Network and Service Management,,,,Peer,
X. Shao; H. Pishro-Nik; L. Gao,2022-04-09,Path-Preserving Anonymization for Inter-domain Routing Policies,International Conference on Risks and Security of Internet and Systems (CRiSIS 2021),,,121-136,Conference Paper,
A. Gamero-Garrido; E. Carisimo; S. Hao; B. Huffaker; A. C. Snoeren,2022-03-22,Quantifying Nations' Exposure to Traffic Observation and Selective Tampering,International Conference on Passive and Active Network Measurement (PAM 2022),,,645-674,Conference Paper,
E. Marechal; P. Merindol; B. Donnet,2022-03-22,ISP Probing Reduction with ANAXIMANDER,International Conference on Passive and Active Network Management (PAM 2020),,,441-469,Conference Paper,
F. Mazzola; P. Marcos; I. Castro; M. Luckie; M. Barcellos,2022-03-22,On the Latency Impact of Remote Peering,International Conference on Passive and Active Network Measurement,,,,Conference Paper,
F. Zhang; C. Lu; B. Liu; H. Duan; Y. Liu,2022-03-22,Measuring the Practical Effect of DNS Root Server Instances: A China-Wide Case Study,International Conference on Passive and Active Network Measurement (PAM 2022),,,247-263,Conference Paper,
J. Saxon; N. Feamster,2022-03-22,GPS-Based Geolocation of Consumer IP Addresses,International Conferfence on Passive and Active Network Measurement (PAM 2022),,,121-151,Conference Paper,
L. Prehn; F. Lichtblau; C. Dietzel; A. Feldmann,2022-03-22,Peering Only? Analyzing the Reachability Benefits of Joining Large IXPs Today,International Conference on Passive and Active Network Measurement (PAM 2022),,,338-366,Conference Paper,
T. Wu; J. H. Wang; J. Wang; S. Zhuang,2022-03-22,RouteInfer: Inferring Interdomain Paths by Capturing ISP Routing Behavior Diversity and Generality,International Conference on Passive and Active Network Measurement (PAM 2022),,,,Conference Paper,
Y. Nosyk; M. Norcynski; A. Duda,2022-03-22,Routing Loops as Mega Amplifiers for DNS-Based DDoS Attacks,International Conference on Passive and Active Network Measurement,,,629-644,Conference Paper,
A. H. Muosa; A. H. Ali,2022-03-15,Internet Routing Anomaly Detection Using LSTM Based Autoencoder,2022 International Conference on Computer Science and Software Engineering (CSASE),,,,Conference Paper,
N. H. Hammood; B. Al-Musawi; A. H. Alhilali,2022-03-11,A Survey of BGP Anomoly Detection Using Machine Learning Technique,Communications in Computer and Information Science,1554,,,Peer,
P. Kumar; R. Dohare,2022-03-11,An interaction-based method for detecting overlapping community structure in real-world networks,International Journal of Data Science and Analytics,14,,27-44,Conference Paper,
M. Gouel; K. Vermeulen; M. Mouchet; J. P. Rohrer; O. Fourmaux; T. Friedman,2022-03-01,Zeph & Iris map the internet: A resilient reinforcement learning approach to distributed IP route tracing,ACM SIGCOMM Computer Communication Review,52,1,2-9,Conference,
P. Gill; C. Diot; L. Y. Ohlsen; M. Mathis; S. Soltesz,2022-03-01,M-Lab: user initiated internet data for the research community,ACM SIGCOMM Computer Communication Review,52,1,34-37,Conference Paper,
B. A. Silva; P. Mol; O. Fonseca; I. Cunha; R. A. Ferreira; E. Katz-BaSSETT,2022-02-28,Automatic Inference of BGP Location Communities,Proceedings of the ACM on Measurement and Analysis of Computing Systems,6,1,,Peer,
R. Kientega; M. H. Sidibe; T. Traore,2022-02-21,Toward an Enhanced Tool for Internet Exchange Point Detection,2021 3rd International Multidisciplinary Information Technology and Engineering Conference (IMITEC),,,,Conference Paper,
T. V. Doan; R. van Rijswijk-Deij; O. Hohlfeld; V. Bajpai,2022-02-12,An Empirical View on Consolidation of the Web,ACM Transactions on Internet Technology,22,3,1-30,Conference Paper,
T. Yang; B. Hou; Z. Cai; K. Wu; T. Zhou; C. Wang,2022-02-11,6Graph: A graph-theoretic approach to address pattern mining for Internet-wide IPv6 scanning,Computer Networks,,,,Peer,
Q. Li; Y. Wu; J. Duan; J. Yang; Y. Jiang,2022-02-10,Weighted NSFIB Aggregation With Generalized Next Hop of Strict Partial Order,IEEE Transactions on Network and Service Management,19,2,890-904,Conference Paper,
M. Bother; O. Kißig; M. Taraz; S. Cohen; K. Seidel; T. Friedrich,2022-01-25,What's Wrong with Deep Learning in Tree Search for Combinatorial Optimization,Cornell University,,,,Peer,
K. G. Leyba; J. J. Daymude; J. Young; M. E. J. Newman; J. Rexford; S. Forrest,2022-01-18,Cutting Through the Noise to Infer Autonomous System Topology,Cornell University,,,,Peer,
S. Talaga; A. Nowak,2022-01-18,Measuring Structural Complementarity and Similarity in Networks,University of Warsaw,,,,Peer,
M. Zeng; X. Huang; P. Zhang; D. Li,2022-01-15,Understanding the impact of outsourcing mitigation against BGP prefix hijacking,Computer Networks,202,,,Peer,
J. Chen; Y. Liu; S. Chen; X. Shi,2022-01-01,Research on the derivation of AS hidden links and the Discovery of Critical AS,2022 IEEE 47th Conference on Local Computer Networks (LCN),,,267-270,Conference Paper,
J. S. Kabala,2022-01-01,Understanding the Internet AS Topology and its applications,Iowa State,,,,Peer,
L. Schumann; T. V. Doan; T. Shreedhar; R. Mok; V. Bajpai,2022-01-01,Impact of Evolving Protocols and COVID-19 on Internet Traffic Shares,Cornell University,,,,Peer,
MD. I. Islam,2022-01-01,An IPv6 Routing Table Lookup Algorithm in Software and ASIC by Designing a High-Level Synthesis System,Kent State University,,,,Conference Paper,
U. Naseer; T. A. Benson,2022-01-01,Configanator: A Data-driven Approach to Improving CDN Performance,NSDI '22,,,,Conference Paper,
S. Higuchi; Y. Koizumi; J. Takemasa; A. Tagami; T. Hasegawa,2021-12-28,Learned FIB: Fast IP Forwarding without Longest Prefix Matching,2021 IEEE 29th International Conference on Network Protocols (ICNP),,,,Conference Paper,
T. P. Tran; V. C. Nguyen; L. Vu; Q. U. Nguyen,2021-12-21,DeepInsight-Convolutional Neural Network for Intrusion Detection Systems,2021 8th NAFOSTED Conference on Information and Computer Science (NICS),,,,Conference Paper,
K. Xu,2021-12-16,Graphical Modeling of Network Traffic,Network Behavior Analysis,,,46-49,Peer,
K. Xu,2021-12-16,Background of Network Behavior Analysis,Network Behavior Analysis,,,7-19,Peer,
K. Xu,2021-12-16,Research Frontiers of Network Behavior Analysis,Network Behavior Analysis,,,119-163,Peer,
T. Garrett; L. C. E. Bona; E. P. Duarte Jr.,2021-12-09,A Holistic Approach for Locating Traffic Differentiation in the Internet,Computer Networks,,,,Peer,
K. Ueda; A. Tagami,2021-12-07,Internet flattening and consolidation considered useful (for deploying new Internet architecture),IWCI'21: Proceedings of the Interdisciplinary Workshop on (de) Centralization in the Internet,,,,Conference Paper,
M. Nawrocki; M. Koch; T. C. Schmidt; M. Wahlisch,2021-12-03,Transparent forwarders: an unnoticed component of the open DNS infrastructure,CoNEXT '21: Proceedings of the 17th International Conference on emerging Networking EXperiments and Technologies,,,,Conference Paper,
S. Aktar; A. Y. Nur,2021-12-03,Hash Based AS Traceback against DoS Attack,2021 4th International Conference on Advanced Communication Technologies and Networking (CommNet),,,,Conference Paper,
S. Zhuang; J. H. Wang; J. Wang; Z. Pan; T. Wu; F. Li; Z. Zhang,2021-12-03,Discovering obscure looking glass sites on the web to facilitate internet measurement research,CoNEXT '21: Proceedings of the 17th International Conference on emerging Networking EXperiments and Technologies,,,426-439,Conference Paper,
T. Holterbach,2021-12-03,A Framework To Fast Reroute Traffic Upon Remote Outages,TIK Schriftenreihe,,,,Peer,
A. Y. Nur,2021-11-25,Efficient Probabilistic Packet Marking for AS Traceback,2021 International Symposium on Networks, Computers and Communications (ISNCC),,,,Conference Paper,
T. B. Paiva; Y. Siqueira; D. M. Batista; R. Hirata; R. Terada,2021-11-17,BGP Anomalies Classification using Features based on AS Relationship Graphs,2021 IEEE Latin-American Conference on Communications (LATINCOM),,,,Conference Paper,
M. Brandt; H. Shulman; M. Waidner,2021-11-13,Evaluating Resilience of Domains in PKI,CCS '21: Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security,,,2444-2446,Conference Paper,
T. Dai; H. Shulman; M. Waidner,2021-11-13,Let's Downgrade Let's Encrypt,CCS '21: Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security,,,1421-1440,Conference Paper,
A. Y. Nur,2021-11-02,Analysis of Autonomous System Level Internet Topology Graphs and Multigraphs,2021 International Symposium on Networks, Computers and Communications (ISNCC),,,,Conference Paper,
E. Carisimo; A. Gamero-Garrido; A. C. Snoeren; A. Dainotti,2021-11-02,Identifying ASes of state-owned internet operators,IMC '21: Proceedings of the 21st ACM Internet Measurement Conference,,,687-702,Conference Paper,
E. N. Nemmi; F. Sassi; M. La Morgia; C. Testart; A. Mei; A. Dainotti,2021-11-02,The parallel lives of autonomous systems: ASN allocations vs. BGP,IMC '21: Proceedings of the 21st ACM Internet Measurement Conference,,,593-611,Conference Paper,
E. Rye; R. Beverly; KC Claffy,2021-11-02,Follow the scent: defeating IPv6 prefix rotation privacy,IMC '21: Proceedings of the 21st ACM Internet Measurement Conference,,,739-752,Conference Paper,
T. Krenc; R. Beverly; G. Smaragdakis,2021-11-02,AS-level BGP community usage classification,Proceedings of the 21st ACM Internet Measurement Conference (IMC '21),,,,Conference Paper,
C. Mayr; C. Risso; E. Grampin,2021-11-01,Crafting optimal and resilient iBGP-IP/MPLS overlays for transit backbone networks,Optical Switching and Networking,42,,,Peer,
Y. Dong; Q. Li; R. O. Sinnot; Y. Jiang; S. Xia,2021-11-01,ISP Self-Operated BGP Anomaly Detection Based on Weakly Supervised Learning,2021 IEEE 29th International Conference on Network Protocols (ICNP),,,,Conference Paper,
R. Houser; S. Hao; Z. Li; D. Liu; C. Cotton; H. Wang,2021-10-20,A Comprehensive Measurement-based Investigation of DNS Hijacking,2021 40th International Symposium on Reliable Distributed Systems (SRDS),,,,Conference Paper,
K. Bekshentayeva; L. Trajkovic,2021-10-17,Detection of Denial of Service Attacks Using Echo State Networks,2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC),,,,Conference Paper,
M. Harayama; T. Kudoh,2021-10-08,Detection of Hypergiants in AS-Level Topology Using Machine Learning,2021 22nd Asia-Pacific Network Operations and Management Symposium (APNOMS),,,,Conference Paper,
J. Krupp; C. Rossow,2021-10-06,BGPeek-a-Boo: Active BGP-based Traceback for Amplification DDoS Attacks,2021 IEEE European Symposium on Security and Privacy (EuroS&P),,,,Conference Paper,
M. Vermeer; J. West; A. Cuevas; S. Niu; N. Christin; M. Van Eeten; T. Fiebig; C. Ganan; T. Moore,2021-10-06,SoK: A Framework for Asset Discovery: Systematizing Advances in Network Measurements for Protecting Organizations,2021 IEEE European Symposium on Security and Privacy (EuroS&P),,,,Conference Paper,
K. Hoarau; P. U. Tournoux; T. Razafindralambo,2021-10-04,Suitability of Graph Representation for BGP Anomaly Detection,2021 IEEE 46th Conference on Local Computer Networks (LCN),,,,Conference Paper,
H. Shulman; S. Zhao,2021-10-02,Machine Learning Analysis of IP ID Applications,2021 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks - Supplemental Volume (DSN-S),,,,Conference Paper,
T. Shapira; Y. Shavitt,2021-10-01,SASA: Source-Aware Self-Attention for IP Hijack Detection,IEEE/ACM Transactions on Networking,30,1,,Peer,
S. Dhuli; S. Kouachi; A. Chhabra; Y. N. Singh,2021-09-29,Network Robustness Analysis for IoT Networks Using Regular Graphs,IEEE Internet of Things Journal,9,11,8809-8819,Conference Paper,
T. Witono; S. Yazid,2021-09-24,A Review of Internet Topology Research at the Autonomous System Level,Proceedings of Sixth International Congress on Information and Communication Technology,,,581-598,Conference Paper,
A. Sarabi; K. Jin; M. Liu,2021-09-21,Smart Internet Probing: Scanning Using Adaptive Machine Learning,Game Theory and Machine Learning for Cyber Security,,,,Peer,
Y. Wang; M. Xu,2021-09-14,Observing BGP route poisoning in the wild,SIGCOMM '20: Proceedings of the SIGCOMM '20 Poster and Demo Sessions,,,94-96,Conference Paper,
N. Zincir-Heywood; M. Mellia; Y. Diao,2021-09-03,Overview of Network and Service Management,Communication Networks and Service Management in the Era of Artificial Intelligence and Machine Learning,,,,Peer,
T. Pacheco; C. Andrea,2021-09-01,Towards Data-Driven Internet Routing Security,Massachusetts Insititute of Technology: Department of Electrical Engineering and Computer Science,,,,Peer,
. Milolidakis; T. Buhler; M. Chiesa,2021-08-23,Smart BGP Hijacks that Evade Public Route Collectors,2021 Special Interest Data Group on Data Communications Conference (SIGCOMM '21),,,,Conference Paper,
B. Gui; F. Lan; A. Wang,2021-08-23,Sarasate: a strong representation system for networking policies,SIGCOMM '21: Proceedings of the SIGCOMM '21 Poster and Demo Sessions,,,62-64,Conference Paper,
E. Huff; A. Gember-Jacobson,2021-08-23,Divesting in Socially (Ir)responsible Internet Service Providers,TAURIN'21: Proceedings of the ACM SIGCOMM 2021 Workshop on Technologies, Applications, and Uses of a Responsible Internet,,,,Conference Paper,
N. Rodday; L. Kaltenbach; I. Cunha; R. Bush; E. Katz-Bassett; G. D. Rodosek; T. C. Schmidt; M. Wahlisch,2021-08-23,On the Deployment of Default Routes in Inter-domain Routing,TAURIN'21: Proceedings of the ACM SIGCOMM 2021 Workshop on Technologies, Applications, and Uses of a Responsible Internet,,,14-20,Conference Paper,
R. Padmanabhan; A. Filasto; M. Xynou; R. S. Raman; K. Middleton; M. Zhang; D. Madory; M. Roberts; A. Dainotti,2021-08-23,A multi-perspective view of Internet censorship in Myanmar,FOCI '21: Proceedings of the ACM SIGCOMM 2021 Workshop on Free and Open Communications on the Internet,,,27-36,Conference Paper,
L. Salamatian; F. Douzet; K. Salamatian; K. Limonier,2021-08-17,The geopolitics behind the routes data travel: a case study of Iran,Journal of Cybersecurity,7,1,,Peer,
T. Tran; A. Shenoi; M. S. Kang,2021-08-13,On the Routing-Aware Peering against Network-Eclipse Attacks in Bitcoin,30th USENIX Security Symposium,,,,Conference Paper,
T. Dai; P. Jeitner; H. Shulman; M. Waidner,2021-08-09,From IP to transport and beyond: cross-layer attacks against applications,SIGCOMM '21: Proceedings of the 2021 ACM SIGCOMM 2021 Conference,,,836-849,Conference Paper,
S. Scherrer; M. Legner; A. Perrig; S. Schmid,2021-08-06,Enabling Novel Interconnection Agreements with Path-Aware Networking Architectures,2021 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),,,,Conference Paper,
C. G. Barrineau,2021-08-01,Tarn: Towards a Traffic Analysis Resistant Network,Clemson University,,,,Peer,
I. Piesessa; B. Soewito,2021-08-01,Analysis of BGP4 Peering Establishment Time on IPv6 Connection over 6PE and 6VPE,International Journal of Communication Networks and Information Security (IJCNIS),,,,Peer,
M. Kallitsis; V. Hovavar; R. Prajapati; D. Wu; J. Yen,2021-07-29,Zooming Into the Darknet: Characterizing Internet Background Radiation and its Structural Changes,Cornell University,,,,Peer,
L. Ziman,2021-07-28,Collaborative Filtering Method of Web Service Recommendation Based on Location Aware and Personalized,Converter Magazine,,,,Peer,
S. Peng; X. Shu; Z. Ruan; Z. Huang; Q. Xuan,2021-07-28,Inferring Multiple Relationships between ASes using Graph Convolutional Network,Cornell University,,,,Peer,
C. Jung; S. Kim; I. Yeom; H. Woo; Y. Kim,2021-07-26,GPU-Ether: GPU-native Packet I/O for GPU Applications on Commodity Ethernet,IEEE INFOCOM 2021 - IEEE Conference on Computer Communications,,,,Conference,
Y. Urimoto; D. Kotani; Y. Okabe,2021-07-12,Analysis of Inter-regional Relationship among Regional Tier-1 ASes in the Internet,2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC),,,,Conference Paper,
K. Subramani; R. Perdisci; M. Konte,2021-07-09,Detecting and Measuring In-The-Wild DRDoS Attacks at IXPs,International Conference on Detection of Instrusion and Malware, and Vulnerability Assessment (DIMVA 2021),,,42-67,Conference Paper,
N. H. Hammood; B. Al-Musawi,2021-07-04,Using BGP Features Towards Identifying Type of BGP Anomaly,2021 International Congress of Advanced Technology and Engineering (ICOTEN),,,,Conference Paper,
R. Singh; D. Tench; P. Gill; A. McGregor,2021-07-04,PredictRoute: A Network Path Prediction Toolkit,Proceedings of the ACM on Measurement and Analysis of Computing Systems,5,2,1-24,Conference Paper,
A. Ulmer; D. Sessler; J. Kohlhammer,2021-06-29,ProBGP: Progressive Visual Analytics of Live BGP Updates,Computer Graphics Forum,40,,37-48,Peer,
P. Sermpezis; V. Kotronis; K. Arakadakis; A. Vakali,2021-06-21,Estimating the Impact of BGP Prefix Hijacking,2021 IFIP Networking Conference (IFIP Networking),,,,Conference Paper,
Y. Zhao; Y. Liu; X. Guo; Z. Sui,2021-06-21,Inter-domain Link Inference with Confidence Using Naïve Bayes Classifier,ICMLC 2021: 2021 13th International Conference on Machine Learning and Computing,,,217-222,Conference Paper,
MD. I. Islam; J. I. Khan,2021-06-15,CP-Trie: Cumulative PopCount based Trie for IPv6 Routing Table Lookup in Software and ASIC,2021 IEEE 22nd International Conference on High Performance Switching and Routing (HPSR),,,,Conference Paper,
K. Hoarau; P. U. Tournoux; T. Razafindralambo,2021-06-14,BML: An Efficient and Versatile Tool for BGP Dataset Collection,2021 IEEE International Conference on Communications Workshops (ICC Workshops),,,,Conference Paper,
A. Y. Nur,2021-06-09,Combating DDoS Attacks with Fair Rate Throttling,2021 IEEE International Systems Conference (SysCon),,,,Conference Paper,
A. Y. Nur; M. E. Tozal,2021-06-09,Single Packet AS Traceback against DoS Attacks,2021 IEEE International Systems Conference (SysCon),,,,Conference Paper,
S. Wen; D. Qin; T. Lv; L. Ge,2021-06-06,An Experimental Study on the Core Autonomous System of Internet,WABD 2021: 2021 Workshop on Algorithm and Big Data,,,74-78,Conference Paper,
D. Kim; V. Andalibi; J. Camp,2021-05-27,Protecting IoT Devices through Localized Detection of BGP Hijacks for Individual Things,2021 IEEE Security and Privacy Workshops (SPW),,,,Conference Paper,
S. Higuchi; J. Takemasa; Y. Koizumi; A. Tagami; T. Hasegawa,2021-05-19,Feasibility of Longest Prefix Matching using Learned Index Structures,ACM SIGMETRICS Performance Evaluation Review,48,4,45-48,Conference Paper,
H. Zou; D. Ma; Q. Shao; W. Mao,2021-05-17,The Horizontal INR Conflict-Detection Algorithm: Revealing INR Reallocation and Reauthorization in RPKI,2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),,,,Conference Paper,
L. Ariemma; M. Scazzariello; T. Caiazzi,2021-05-17,MRT#: a Fast Multi-Threaded MRT Parser,2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),,,,Conference Paper,
Z. Li; A. L. G. Rios; L. Trajkovic,2021-05-13,Machine Learning for Detecting Anomalies and Intrusions in Communication Networks,IEEE Journal on Selected Areas in Communications,39,7,2254-2264,Peer,
M. Brandt; H. Shulman,2021-05-10,Optimized BGP Simulator for Evaluation of Internet Hijacks,IEEE INFOCOM 2021 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,,Conference Paper,
M. Zeng; H. Li; J. Lai; X. Huang,2021-05-07,A BGP Hijacking Detection Method based on Multi-dimensional Historical Data Analysis, 2021 International Conference on Computer Communication and Artificial Intelligence (CCAI),,,,Conference Paper,
K. Limonier; F. Douzet; L. Petiniaud; L. Salamatian; K. Salamatian,2021-05-03,Mapping the routes of the Internet for geopolitics: The case of Eastern Ukraine,First Monday,26,5,,Peer,
H. Bing; S. Hao; Z. Fangwei; Z. Shuai; Q. Tao; Y. Changjiang,2021-04-09,Application process of machine learning in cyberspace security,2021 6th International Conference on Intelligent Computing and Signal Processing (ICSP),,,,Conference,
P. Moriano; R. Hill; L. J. Camp,2021-04-07,Using bursty announcements for detecting BGP routing anomalies,Computer Networks,188,,,Peer,
X. Yang; J. Cao; M. Xu,2021-04-05,SEC: Secure, Efficient, and Compatible Source Address Validation with Packet Tags,2020 IEEE 39th International Performance Computing and Communications Conference (IPCCC),,,,Conference Paper,
A. Maghsoudlou; O. Gasser; A. Feldmann,2021-03-30,Zeroing in on Port 0 Traffic in the Wild,International Conference on Passive and Active Network Measurement (PAM 2021),,,547-563,Conference Paper,
J. Kristoff; M. Ghasemisharif; C. Kanich; J. Polakis,2021-03-30,Plight at the End of the Tunnel,International Conference on Passive and Active Network Measurement (PAM 2022),,,390-405,Conference Paper,
KC Claffy; A. C. Snoeren,2021-03-30,Inferring Cloud Interconnections: Validation, Geolocation, and Routing Behavior,International Conference on Passive and Active Network Measurement (PAM 2021),,,230-246,Conference Paper,
L. Ariemma; S. Liotta; M. Candela; G. D. Battista,2021-03-30,Long-Lasting Sequences of BGP Updates,International Conference on Passive and Active Network Measurement (PAM 2021),,,,Conference Paper,
S. Liu; P. Schmitt; F. Bronzino; N. Feamster,2021-03-30,Characterizing Service Provider Response to the COVID-19 Pandemic in the United States,International Conference on Passive and Active Network Measurement (PAM 2021),,,20-38,Conference Paper,
V. G. Li; G. Akiwate; K. Levechenko; G. M. Voelker; S. Savage,2021-03-30,Clairvoyance: Inferring Blocklist Use on the Internet,International Conference on Passive and Active Network Measurement (PAM 2021),,,57-75,Conference Paper,
Y. Zeng; X. Chen; T. Zang,2021-03-30,Winding Path: Characterizing the Malicious Redirection in Squatting Domain Names,International Conference on Passive and Active Measurement (PAM 2021),,,93-107,Conference Paper,
R. Zhuo; B. Huffaker; KC Claffy; S. Greenstein,2021-03-01,The impact of the General Data Protection Regulation on internet interconnection,Telecommunications Policy,45,2,,Peer,
Y. Jaepil; O. Haengrok; K. Jiwon; S. Dongkyoo;,2021-02-28,Research on Cyber IPB Visualization Method based on BGP Archive Data for Cyber Situation Awareness,KSII Transactions on Internet and Information Systems (TIIS),15,2,749-766,Peer,
J. M. Del Fiore; V. Persico; P. Merindol; C. Pelsser; A. Pescape,2021-02-25,The Art of Detecting Forwarding Detours,IEEE Transactions on Network and Service Management,18,3,,Conference Paper,
O. Fonseca; I. Cunha; E. Fazzion; B. Junior; R. A. Ferreira; E. Katz-Bassett,2021-02-23,Identifying Networks Vulnerable to IP Spoofing,IEEE Transactions on Network and Service Management,18,3,3170-3183,Peer,
