Authors,Title,Year,Source,Publisher,ArticleURL,,,,Reject reason
"T Alfroy, T Holterbach, T Krenc, KC Claffy…",Internet Science Moonshot: Expanding BGP Data Horizons,2023,Proceedings of the 22nd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3626111.3628202,,,,doesn't use caida dataset
"L Kawerau, NB Weidmann…",Attack or block? Repertoires of digital censorship in autocracies,2023,Journal of Information …,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/19331681.2022.2037118,,,,"this one is actually a 2022 pub, not sure why it was in search results"
"X Chen, W Shi, J Liu, M Hou, Y Li",6Community: An active IPv6 address detection method based on community discovery algorithm,2023,Proceedings of the 2023 2nd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3625403.3625426,,,,
"P Żórawski, L Caviglione…",A long-term perspective of the internet susceptibility to covert channels,2023,IEEE Communications …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10061648/,,,,doesn't use caida dataset
"J Furuness, C Morris, R Morillo, A Herzberg…",Bgpy: The bgp python security simulator,2023,Proceedings of the 16th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3607505.3607509,,,,
"M Mohan, V Tamizhazhagan, S Balaji",A Perspicacious Multi-level Defense System Against DDoS Attacks in Cloud Using Information Metric &Game Theoretical Approach,2023,Journal of Network and Systems …,Springer,https://link.springer.com/article/10.1007/s10922-023-09776-7,,,,already in data-papers
"T Das, OA Hamdan, RM Shukla…",Unr-idd: Intrusion detection dataset using network port statistics,2023,2023 IEEE 20th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10059640/,,,,doesn't use caida dataset
"S Oh, S Han, H Lee, S Pack",BACKWARD: A Victim-Centric DDoS Detection and Mitigation Scheme in Programmable Data Plane,2023,2023 IEEE 20th Consumer …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10059724/,,,,
"C Zhang, C Miao, C An, A Hong…",Metis: Detecting Fake AS-PATHs Based on Link Prediction,2023,… IEEE Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10218104/,,,,
"A Zapletal, F Kuipers",Slowdown as a Metric for Congestion Control Fairness,2023,Proceedings of the 22nd ACM Workshop on Hot …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3626111.3628185,,,,already in data-papers
"M Gouel, O Darwich, M Mouchet…",Poster: Towards a Publicly Available Framework to Process Traceroutes with MetaTrace,2023,Proceedings of the 2023 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3618257.3625001,,,,doesn't use caida dataset
